,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km
58,2025-04-29 19:14:02+00:00,34.607048,-98.424541,341.7,154.0,82,,1.0,2.2955883240000365,2.2955883240000365,2.6613152025103837,375.75406289969453
59,2025-04-29 19:14:03+00:00,34.607043,-98.424515,341.7,154.0,81,,1.0,2.4436294879015152,2.4436294879015152,2.7372499718283594,365.33017089851137
60,2025-04-29 19:14:04+00:00,34.607045,-98.424486,341.7,,81,,1.0,2.663404748560751,2.663404748560751,3.0418867597893984,328.7433356228007
61,2025-04-29 19:14:05+00:00,34.607053,-98.424452,341.7,,81,,1.0,3.236362421350817,3.236362421350817,3.132981297444386,319.18479718206845
62,2025-04-29 19:14:06+00:00,34.607069,-98.424406,341.6,,81,,1.0,4.570448817133872,4.570448817133872,3.10401582402666,322.1633060822344
63,2025-04-29 19:14:07+00:00,34.607078,-98.424378,341.6,149.0,81,,1.0,2.751061012274975,2.751061012274975,3.1026210832872585,322.30813017633784
64,2025-04-29 19:14:08+00:00,34.60708,-98.424353,341.6,148.0,81,,1.0,2.2988021208128857,2.2988021208128857,2.972189217297626,336.45233425253457
65,2025-04-29 19:14:09+00:00,34.607079,-98.424324,341.6,,81,,1.0,2.656431044863744,2.656431044863744,2.5290195075641253,395.4101567856903
66,2025-04-29 19:14:10+00:00,34.607076,-98.424296,341.6,,81,,1.0,2.5842030914026517,2.5842030914026517,2.5211493094867112,396.6444971097698
67,2025-04-29 19:14:11+00:00,34.607071,-98.424271,341.6,150.0,81,,1.0,2.3546002684663723,2.3546002684663723,2.610963835337434,383.0003259584646
68,2025-04-29 19:14:12+00:00,34.607066,-98.424242,341.6,150.0,82,,1.0,2.7117100218879027,2.7117100218879027,2.6270122135054472,380.6605827178909
69,2025-04-29 19:14:13+00:00,34.607065,-98.424212,341.6,,82,,1.0,2.747874750066498,2.747874750066498,2.6246143978434513,381.00834957762294
70,2025-04-29 19:14:14+00:00,34.607071,-98.424183,341.5,,82,,1.0,2.7366729357038104,2.7366729357038104,2.6484067337238795,377.5855072660675
71,2025-04-29 19:14:15+00:00,34.607073,-98.424155,341.5,,82,,1.0,2.572214013092673,2.572214013092673,2.619063433305322,381.81587634858295
72,2025-04-29 19:14:16+00:00,34.607074,-98.424128,341.5,,83,,1.0,2.4735619478685127,2.4735619478685127,2.692227092025875,371.4396913105535
73,2025-04-29 19:14:17+00:00,34.607073,-98.4241,341.5,,82,,1.0,2.564993519795116,2.564993519795116,2.87553141249317,347.7618069673496
74,2025-04-29 19:14:18+00:00,34.607074,-98.424066,341.5,,81,,1.0,3.1136930436692642,3.1136930436692642,3.1559830812853793,316.8584793530378
75,2025-04-29 19:14:19+00:00,34.607081,-98.424027,341.5,,81,,1.0,3.6531945380402826,3.6531945380402826,3.4715513000788802,288.0556597211391
76,2025-04-29 19:14:20+00:00,34.607086,-98.423984,341.4,,82,,1.0,3.9744723570537213,3.9744723570537213,3.63617136086386,275.01454160356894
77,2025-04-29 19:14:21+00:00,34.60709,-98.42394,341.4,,82,,1.0,4.051403041836016,4.051403041836016,3.732815963800756,267.8942679461216
78,2025-04-29 19:14:22+00:00,34.607089,-98.423903,341.4,,82,,1.0,3.388093823720017,3.388093823720017,3.6082440610520785,277.1431153435956
79,2025-04-29 19:14:23+00:00,34.607085,-98.423864,341.3,,82,,1.0,3.596916058353744,3.596916058353744,3.384687229936296,295.44827396616535
